1;129421
1;52928
1;283698
1;162137
1;88395
1;252823
1;237659
2;5629
2;162592
2;60383
2;254196
2;176833
2;179511
3;155007
3;94108
3;72087
3;159892
3;93518
3;42916
3;169316
3;280518
3;146896
4;188672
4;152035
4;141206
4;277932
4;69625
4;33989
4;256654
4;170850
4;169714
5;246853
6;83504
6;182663
6;61939
6;120489
6;14156
6;149670
6;233613
6;54717
6;29788
6;157406
7;83611
7;81533
7;14093
7;173815
8;206515
8;252672
8;247414
8;21635
9;116784
9;153153
9;241772
9;221159
9;177021
9;61327
9;167261
9;246974
10;151626
10;234247
10;192022
10;43834
10;181735
10;193047
10;66713
10;163432
10;246070
10;76432
11;274050
11;9335
11;79573
11;65038
11;120199
11;140033
12;136815
12;271848
12;75142
12;256038
12;68238
13;192205
13;44686
14;79518
14;240985
14;38545
14;153199
15;132655
15;229288
15;80585
16;188039
16;134774
16;100596
16;257769
16;279879
16;69757
16;165697
16;143863
16;80689
17;5494
17;252168
17;128827
17;153866
17;2513
17;107238
17;60696
17;255847
17;195621
18;13013
18;124242
18;9966
19;223722
19;89397
20;2177
20;136709
20;166357
20;128022
20;102249
20;275351
20;72949
20;239992
20;89840
21;216678
21;214450
22;232604
22;49920
22;253559
22;158643
22;202739
22;25408
22;139500
22;198791
22;270875
23;54992
23;236480
23;186805
23;63669
23;235421
23;224930
24;137510
24;16889
24;22252
25;1632
25;75513
26;72858
26;182303
26;137556
26;186103
26;247536
27;228765
27;147920
27;249411
27;94689
27;188456
27;231828
27;253281
28;238458
28;76460
28;261365
28;163389
28;85917
28;180341
28;40793
29;244008
30;193057
30;30065
30;24975
30;267182
30;39732
30;186019
31;261926
31;167238
31;252494
31;191447
31;276316
31;161874
31;46112
31;26669
32;117901
32;181704
32;4873
33;134238
33;98426
33;93389
33;38180
33;175345
33;225563
33;251223
34;216978
34;190492
34;244738
35;281989
35;271495
35;240717
35;270597
35;137896
35;162248
35;135588
35;277536
36;5527
36;57900
36;20974
36;198094
36;262284
36;187208
37;68735
37;206292
37;81145
37;82809
38;161436
38;113809
38;47943
39;97969
39;137731
39;93678
39;244231
40;13183
40;80185
40;1229
40;30428
40;37873
40;164259
40;47125
40;71779
40;177818
41;166507
41;16949
41;116845
41;203939
41;58125
41;222402
41;182987
41;266286
41;243209
42;44574
42;68515
42;111695
42;81477
43;258030
43;169186
43;65203
43;153907
43;122550
43;114328
43;278325
43;132852
44;156544
44;184069
44;256820
44;143456
44;5620
44;935
44;210063
44;41538
45;200257
45;134096
45;122961
46;120459
46;258871
46;243541
46;272058
46;238243
46;230036
47;53717
47;204305
47;131580
47;46215
47;7947
47;79538
48;229122
48;73637
48;279344
48;81929
48;188708
49;269001
49;248580
49;157885
49;245508
49;174522
49;129288
49;282497
